age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y_true,y_score
65,retired,married,basic.4y,no,yes,no,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,1.043,4963.6,1,0.9205620258499541
81,retired,divorced,basic.4y,no,no,no,cellular,sep,wed,2,7,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.9196147973217818
65,retired,married,basic.4y,no,yes,yes,cellular,oct,wed,1,3,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9141892885011716
60,admin.,married,unknown,no,no,no,cellular,nov,tue,1,7,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.9090187659348519
54,admin.,married,high.school,no,no,no,cellular,oct,wed,2,6,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.9040378799900953
59,admin.,divorced,high.school,no,no,no,cellular,nov,thu,3,3,2,success,-1.1,94.767,-50.8,1.05,4963.6,1,0.9015453751555405
62,admin.,married,high.school,no,no,no,cellular,oct,tue,1,4,3,success,-1.1,94.601,-49.5,1.037,4963.6,1,0.9010954093131419
57,admin.,married,university.degree,no,unknown,unknown,cellular,oct,wed,2,3,2,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.8993832556484022
60,blue-collar,married,basic.4y,no,yes,no,cellular,nov,tue,2,4,1,success,-1.1,94.767,-50.8,1.035,4963.6,0,0.8943818701804466
70,retired,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.8940367944040137
85,retired,married,basic.4y,no,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.881,4963.6,1,0.893838892094325
67,housemaid,divorced,professional.course,no,yes,no,cellular,nov,mon,2,5,5,success,-1.1,94.767,-50.8,1.039,4963.6,1,0.8922950366326489
62,retired,married,university.degree,no,no,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.031,4963.6,1,0.8857416817632318
82,housemaid,married,basic.4y,no,no,no,telephone,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8856088138985223
66,retired,married,basic.4y,unknown,unknown,unknown,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.8847693711955553
54,services,divorced,high.school,no,yes,yes,cellular,oct,wed,4,3,1,success,-1.1,94.601,-49.5,1.016,4963.6,1,0.8839194504265109
35,admin.,married,university.degree,no,no,no,cellular,oct,wed,1,3,2,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.8795382082926995
34,admin.,married,university.degree,no,no,no,cellular,nov,wed,1,3,3,success,-1.1,94.767,-50.8,1.048,4963.6,0,0.8795382082926995
63,admin.,married,university.degree,no,yes,no,cellular,oct,thu,2,6,1,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.8783379064813468
65,retired,married,basic.4y,no,no,no,cellular,oct,fri,2,7,3,success,-1.1,94.601,-49.5,0.993,4963.6,1,0.876499739913584
69,retired,married,high.school,no,yes,yes,cellular,sep,wed,1,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8736098414465563
30,management,married,university.degree,no,no,yes,cellular,oct,wed,1,6,1,success,-1.1,94.601,-49.5,1.043,4963.6,1,0.8733977201094887
23,student,single,high.school,no,no,no,cellular,oct,wed,1,3,1,success,-1.1,94.601,-49.5,1.043,4963.6,0,0.8730985911450923
37,technician,single,professional.course,no,yes,no,cellular,nov,wed,1,6,4,success,-1.1,94.767,-50.8,1.044,4963.6,1,0.8714586958143843
19,student,single,basic.4y,no,yes,no,cellular,sep,wed,2,6,3,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.8700301003087529
54,admin.,married,professional.course,no,no,no,cellular,nov,tue,2,10,1,success,-1.1,94.767,-50.8,1.035,4963.6,1,0.8696837934718511
63,retired,married,basic.4y,no,yes,no,cellular,nov,fri,1,3,2,success,-1.1,94.767,-50.8,1.049,4963.6,1,0.8696836560838961
59,admin.,married,university.degree,no,no,yes,cellular,sep,wed,1,3,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8692537074979529
86,retired,married,unknown,unknown,yes,yes,cellular,sep,tue,1,7,4,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8683467925978131
51,admin.,divorced,high.school,no,yes,no,cellular,nov,tue,1,3,7,success,-1.1,94.767,-50.8,1.049,4963.6,0,0.86570860180171
50,blue-collar,divorced,professional.course,no,yes,no,cellular,nov,tue,2,9,3,success,-1.1,94.767,-50.8,1.049,4963.6,0,0.8645309825705523
81,retired,divorced,basic.4y,no,yes,no,cellular,oct,thu,2,3,2,success,-1.1,94.601,-49.5,0.987,4963.6,0,0.8629155340466613
32,technician,married,professional.course,no,no,no,cellular,oct,wed,1,3,1,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.8611481641137348
51,admin.,married,university.degree,no,yes,yes,cellular,oct,thu,3,3,1,success,-1.1,94.601,-49.5,0.965,4963.6,1,0.8590391621874929
84,retired,divorced,basic.4y,unknown,yes,yes,cellular,oct,mon,4,3,1,success,-1.1,94.601,-49.5,1.0,4963.6,0,0.8571517789490992
31,student,single,unknown,no,unknown,unknown,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.856346629929388
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,1,6,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8554670550582372
41,technician,married,professional.course,no,no,no,cellular,oct,wed,2,27,1,success,-1.1,94.601,-49.5,0.959,4963.6,1,0.852748248495224
60,retired,married,high.school,no,no,no,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.8519131288175834
48,technician,married,professional.course,no,no,no,cellular,oct,thu,1,6,3,success,-1.1,94.601,-49.5,0.987,4963.6,1,0.8504292440439022
84,retired,divorced,unknown,unknown,no,no,cellular,sep,tue,1,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8490223817014183
24,student,single,high.school,no,yes,yes,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.8487003385283884
81,retired,married,university.degree,unknown,yes,yes,cellular,oct,tue,2,6,1,success,-3.4,92.431,-26.9,0.728,5017.5,0,0.8486039196534391
41,admin.,married,unknown,no,no,no,cellular,sep,wed,1,7,3,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8474501521140635
65,retired,married,high.school,no,yes,yes,cellular,oct,fri,2,12,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,0.8452761080338711
37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,5,5,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8436115782794573
37,admin.,married,university.degree,no,no,no,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8432262584900548
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,13,2,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8419165402642315
28,self-employed,single,university.degree,no,yes,no,cellular,nov,thu,2,6,3,success,-1.1,94.767,-50.8,1.041,4963.6,0,0.8408798294577767
24,student,single,unknown,no,yes,no,cellular,sep,wed,1,5,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8394103377314928
68,retired,divorced,high.school,no,yes,yes,cellular,oct,mon,1,3,1,success,-1.1,94.601,-49.5,1.0,4963.6,1,0.8392237121245858
80,retired,divorced,unknown,no,yes,yes,cellular,nov,fri,2,3,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.8390550411371837
33,admin.,single,university.degree,no,yes,no,cellular,oct,thu,1,3,3,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8390157869637631
79,retired,married,basic.4y,no,no,yes,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.8387009766615156
34,technician,married,unknown,no,no,no,cellular,nov,tue,1,6,2,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.8386788305761899
37,management,married,university.degree,no,yes,no,cellular,oct,thu,3,3,3,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8371726920757269
34,technician,married,unknown,no,yes,no,cellular,nov,tue,1,3,1,success,-1.1,94.767,-50.8,1.046,4963.6,1,0.8370690397110134
56,unemployed,divorced,basic.4y,no,no,yes,cellular,oct,fri,2,5,3,success,-1.1,94.601,-49.5,0.972,4963.6,1,0.8360118804174544
31,technician,married,university.degree,no,yes,yes,cellular,oct,tue,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,1,0.8358311834716455
41,unemployed,married,basic.9y,no,no,no,cellular,nov,thu,2,3,2,success,-1.1,94.767,-50.8,1.041,4963.6,1,0.8354829176492422
74,retired,married,university.degree,no,yes,no,cellular,oct,fri,2,3,2,success,-1.1,94.601,-49.5,0.993,4963.6,0,0.8350954189666355
83,retired,divorced,basic.4y,no,no,no,cellular,sep,thu,1,9,3,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.8349610655449258
37,housemaid,married,university.degree,no,no,no,cellular,oct,thu,2,11,4,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8348027195458668
31,admin.,single,university.degree,no,yes,no,cellular,nov,wed,1,2,5,success,-1.1,94.767,-50.8,1.048,4963.6,1,0.8332912767895774
31,admin.,single,university.degree,no,unknown,unknown,cellular,oct,tue,1,3,1,success,-1.1,94.601,-49.5,1.008,4963.6,1,0.8325908165933298
63,unknown,married,professional.course,no,no,no,cellular,oct,thu,1,6,1,success,-1.1,94.601,-49.5,1.025,4963.6,0,0.8325594519709195
42,management,married,university.degree,no,yes,no,cellular,sep,wed,1,3,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8320095518974236
60,retired,married,university.degree,no,no,no,cellular,sep,thu,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6,1,0.8307051268485032
65,retired,married,basic.4y,no,yes,yes,cellular,oct,mon,1,3,1,success,-1.1,94.601,-49.5,0.977,4963.6,1,0.829677543726257
24,blue-collar,single,high.school,no,no,no,cellular,oct,thu,1,3,1,success,-1.1,94.601,-49.5,1.025,4963.6,1,0.8275250890553483
45,management,married,university.degree,no,no,no,cellular,sep,wed,2,3,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8274383694603488
27,admin.,single,university.degree,no,yes,yes,cellular,oct,tue,1,3,2,success,-1.1,94.601,-49.5,0.982,4963.6,0,0.825559349746631
30,student,single,professional.course,no,unknown,unknown,cellular,sep,mon,4,6,3,success,-1.1,94.199,-37.5,0.879,4963.6,0,0.8233918437621354
57,management,married,university.degree,no,no,no,cellular,sep,fri,2,6,2,success,-1.1,94.199,-37.5,0.883,4963.6,1,0.8230574229489399
31,admin.,single,university.degree,no,no,yes,cellular,nov,wed,2,3,6,success,-1.1,94.767,-50.8,1.048,4963.6,0,0.8225694704831604
28,admin.,single,university.degree,no,no,no,cellular,oct,thu,1,17,1,success,-1.1,94.601,-49.5,0.965,4963.6,0,0.8225444227981595
56,technician,divorced,professional.course,no,no,no,cellular,oct,mon,1,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,1,0.822206131646396
76,retired,married,university.degree,no,no,yes,cellular,dec,thu,3,4,2,success,-3.0,92.713,-33.0,0.712,5023.5,1,0.8219619931678512
76,retired,married,university.degree,no,yes,yes,cellular,dec,thu,2,4,2,success,-3.0,92.713,-33.0,0.712,5023.5,1,0.8210961206763457
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,1,9,4,success,-1.1,94.767,-50.8,1.035,4963.6,1,0.820518649944436
19,student,single,basic.6y,no,yes,yes,cellular,sep,thu,5,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.819727815990899
51,services,married,high.school,no,yes,no,cellular,nov,mon,3,6,3,success,-1.1,94.767,-50.8,1.05,4963.6,0,0.8178469469524294
59,services,married,professional.course,no,yes,no,cellular,sep,fri,3,2,4,success,-1.1,94.199,-37.5,0.883,4963.6,0,0.8170237731854982
60,admin.,married,professional.course,no,yes,yes,cellular,sep,thu,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.8167526689709508
58,admin.,married,university.degree,no,no,no,cellular,sep,thu,4,6,1,success,-1.1,94.199,-37.5,0.878,4963.6,1,0.8166516763952423
45,admin.,married,high.school,no,yes,no,cellular,oct,fri,3,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,0.8163116074747909
37,unemployed,single,professional.course,no,no,no,cellular,oct,fri,4,6,1,success,-1.1,94.601,-49.5,1.029,4963.6,0,0.8158107234280477
25,student,single,high.school,no,yes,no,cellular,oct,fri,1,3,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,0.8156788107548414
51,services,married,high.school,no,no,yes,cellular,nov,mon,2,3,4,success,-1.1,94.767,-50.8,1.05,4963.6,0,0.8155940806428484
58,admin.,married,high.school,no,no,no,cellular,sep,thu,1,6,1,success,-1.1,94.199,-37.5,0.878,4963.6,1,0.8151963566799797
88,retired,divorced,basic.4y,no,no,no,cellular,oct,wed,2,6,1,success,-3.4,92.431,-26.9,0.735,5017.5,1,0.8145979442525941
29,technician,married,professional.course,no,yes,no,cellular,oct,fri,1,5,2,success,-1.1,94.601,-49.5,0.972,4963.6,1,0.813751132375908
49,admin.,married,high.school,unknown,no,no,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,1,0.8133865880777867
66,retired,married,unknown,no,yes,no,cellular,sep,tue,2,6,1,success,-1.1,94.199,-37.5,0.881,4963.6,1,0.8126809348502536
35,technician,divorced,basic.4y,no,yes,no,cellular,nov,tue,3,4,2,success,-1.1,94.767,-50.8,1.035,4963.6,1,0.8123450444808212
42,admin.,divorced,university.degree,no,no,no,cellular,sep,wed,1,16,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8121637008757243
25,student,single,high.school,no,yes,no,cellular,oct,mon,1,6,4,success,-1.1,94.601,-49.5,1.032,4963.6,0,0.8121329041437905
33,admin.,married,university.degree,no,yes,no,cellular,nov,fri,1,12,1,success,-1.1,94.767,-50.8,1.049,4963.6,1,0.8118578505502909
67,unknown,divorced,unknown,unknown,yes,no,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.8114168352562244
23,student,single,high.school,no,no,yes,cellular,sep,thu,2,3,2,success,-1.1,94.199,-37.5,0.878,4963.6,1,0.8108310140772153
82,retired,married,university.degree,unknown,no,no,cellular,sep,mon,3,3,4,success,-1.1,94.199,-37.5,0.879,4963.6,0,0.8083515281094418
59,management,married,university.degree,no,yes,no,cellular,dec,thu,3,6,1,success,-3.0,92.713,-33.0,0.7,5023.5,0,0.8081400597680098
32,technician,married,professional.course,no,no,no,cellular,oct,wed,2,14,4,failure,-1.1,94.601,-49.5,0.959,4963.6,0,0.8075171586574902
49,technician,divorced,professional.course,no,yes,no,cellular,oct,fri,2,3,1,success,-1.1,94.601,-49.5,0.972,4963.6,1,0.8072440683779248
23,student,single,basic.9y,no,yes,yes,cellular,sep,mon,3,6,2,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.8070597741849739
22,student,single,high.school,no,no,no,cellular,sep,wed,3,5,1,success,-1.1,94.199,-37.5,0.886,4963.6,1,0.8065452445633642
41,unemployed,married,high.school,no,no,no,cellular,sep,wed,1,6,3,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.8065237997275668
25,student,single,high.school,no,yes,no,cellular,oct,mon,2,6,3,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.8064711651150512
29,technician,single,professional.course,no,no,yes,cellular,nov,fri,1,6,2,success,-1.1,94.767,-50.8,1.04,4963.6,0,0.8064216554188581
53,management,divorced,university.degree,no,no,no,cellular,sep,tue,2,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.8061356455335157
38,blue-collar,single,high.school,no,yes,no,cellular,sep,wed,1,6,3,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.8056998914055377
24,admin.,single,university.degree,no,yes,no,cellular,oct,fri,3,3,2,success,-1.1,94.601,-49.5,0.993,4963.6,1,0.8051297084439397
29,student,single,professional.course,no,yes,yes,cellular,nov,thu,1,7,1,success,-3.4,92.649,-30.1,0.714,5017.5,1,0.804248849740351
76,retired,married,basic.4y,no,yes,no,cellular,sep,wed,2,3,1,success,-3.4,92.379,-29.8,0.781,5017.5,1,0.80410290968321
23,student,single,professional.course,no,yes,no,cellular,sep,wed,1,8,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,0.8038527880151544
26,unemployed,single,high.school,no,yes,no,cellular,oct,fri,3,14,1,success,-1.1,94.601,-49.5,1.029,4963.6,1,0.8038104620851315
28,admin.,single,university.degree,no,yes,no,cellular,oct,mon,1,6,2,success,-1.1,94.601,-49.5,1.032,4963.6,0,0.8037020410563898
45,unemployed,married,high.school,no,no,no,cellular,sep,wed,4,6,2,success,-1.1,94.199,-37.5,0.88,4963.6,0,0.8028524172946973
69,unknown,married,university.degree,no,yes,yes,cellular,sep,tue,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,0,0.8018231532876865
33,admin.,single,university.degree,no,yes,no,cellular,oct,mon,1,5,2,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.801640468643167
41,unemployed,married,high.school,no,yes,yes,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.8015253040737795
48,admin.,married,university.degree,no,yes,no,cellular,nov,mon,1,6,3,success,-1.1,94.767,-50.8,1.05,4963.6,1,0.799932914602295
25,technician,single,professional.course,no,yes,no,cellular,nov,fri,2,19,1,success,-1.1,94.767,-50.8,1.04,4963.6,1,0.7996851331797562
57,admin.,divorced,high.school,no,no,no,cellular,sep,tue,1,3,5,success,-1.1,94.199,-37.5,0.877,4963.6,1,0.7982071624031675
74,retired,divorced,basic.4y,no,yes,no,cellular,oct,mon,3,3,2,success,-1.1,94.601,-49.5,1.0,4963.6,0,0.7980766530741663
64,unknown,married,unknown,no,no,no,cellular,nov,mon,1,3,3,success,-1.1,94.767,-50.8,1.048,4963.6,0,0.7977859408874602
19,student,single,basic.6y,no,yes,no,cellular,sep,thu,2,6,4,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.7975963831218883
29,unemployed,single,basic.4y,no,yes,no,cellular,nov,fri,1,9,1,success,-1.1,94.767,-50.8,1.028,4963.6,0,0.7967480975534584
42,admin.,single,high.school,no,no,no,cellular,sep,wed,1,14,1,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.7948827072385269
30,technician,married,professional.course,no,yes,no,cellular,oct,mon,1,9,2,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.794432637587489
28,admin.,single,university.degree,no,no,no,cellular,oct,mon,1,3,3,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.7943632044422992
73,retired,divorced,high.school,no,no,yes,cellular,dec,tue,3,6,2,success,-3.0,92.713,-33.0,0.707,5023.5,1,0.7941086577371302
28,management,single,university.degree,no,yes,no,cellular,sep,wed,3,6,1,success,-1.1,94.199,-37.5,0.88,4963.6,1,0.7929707185208384
58,technician,married,basic.4y,no,no,yes,cellular,oct,wed,2,4,2,success,-3.4,92.431,-26.9,0.74,5017.5,0,0.7923036936696253
33,services,single,high.school,no,yes,no,cellular,oct,mon,1,6,1,success,-1.1,94.601,-49.5,1.032,4963.6,1,0.7920823358425828
82,retired,divorced,basic.4y,no,yes,no,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0.7917404634483296
32,admin.,single,university.degree,no,yes,no,cellular,sep,thu,2,10,3,success,-1.1,94.199,-37.5,0.884,4963.6,1,0.791456835498075
70,admin.,married,basic.4y,no,yes,yes,cellular,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,1,0.791374606781203
37,admin.,married,university.degree,no,no,no,cellular,nov,mon,2,6,1,success,-1.1,94.767,-50.8,1.05,4963.6,1,0.7911486863995187
